Date,USDAUD
5/3/2009,1.3767
5/4/2009,1.3696
5/5/2009,1.3536
5/6/2009,1.3481
5/7/2009,1.3481
5/8/2009,1.3258
5/9/2009,1.3142
5/10/2009,1.3142
5/11/2009,1.3011
5/12/2009,1.3129
5/13/2009,1.3026
5/14/2009,1.3266
5/15/2009,1.3182
5/16/2009,1.3152
5/17/2009,1.3152
5/18/2009,1.3351
5/19/2009,1.3074
5/20/2009,1.2919
5/21/2009,1.2888
5/22/2009,1.2845
5/23/2009,1.2845
5/24/2009,1.2845
5/25/2009,1.2746
5/26/2009,1.2785
5/27/2009,1.2749
5/28/2009,1.2719
5/29/2009,1.281
5/30/2009,1.281
5/31/2009,1.281
6/1/2009,1.2411
6/2/2009,1.233
6/3/2009,1.2188
6/4/2009,1.2478
6/5/2009,1.2532
6/6/2009,1.2532
6/7/2009,1.2532
6/8/2009,1.2533
6/9/2009,1.2624
6/10/2009,1.2489
6/11/2009,1.2433
6/12/2009,1.2189
6/13/2009,1.2189
6/14/2009,1.2189
6/15/2009,1.2296
6/16/2009,1.2636
6/17/2009,1.2551
6/18/2009,1.2445
6/19/2009,1.233
6/20/2009,1.233
6/21/2009,1.233
6/22/2009,1.2492
6/23/2009,1.2752
6/24/2009,1.2587
6/25/2009,1.2541
6/26/2009,1.2538
6/27/2009,1.2416
6/28/2009,1.2538
6/29/2009,1.2401
6/30/2009,1.2398
7/1/2009,1.2398
7/2/2009,1.2436
7/3/2009,1.2516
7/4/2009,1.2516
7/5/2009,1.2516
7/6/2009,1.2603
7/7/2009,1.2603
7/8/2009,1.2662
7/9/2009,1.2902
7/10/2009,1.2735
7/11/2009,1.2835
7/12/2009,1.2902
7/13/2009,1.2845
7/14/2009,1.2802
7/15/2009,1.2704
7/16/2009,1.2479
7/17/2009,1.2462
7/18/2009,1.2455
7/19/2009,1.2485
7/20/2009,1.245
7/21/2009,1.229
7/22/2009,1.2333
7/23/2009,1.2211
7/24/2009,1.2241
7/25/2009,1.2219
7/26/2009,1.2255
7/27/2009,1.2255
7/28/2009,1.2169
7/29/2009,1.2129
7/30/2009,1.2273
7/31/2009,1.2086
8/1/2009,1.1994
8/2/2009,1.1971
8/3/2009,1.1972
8/4/2009,1.1888
8/5/2009,1.1896
8/6/2009,1.1891
8/7/2009,1.1926
8/8/2009,1.1933
8/9/2009,1.196
8/10/2009,1.1922
8/11/2009,1.1997
8/12/2009,1.205
8/13/2009,1.1993
8/14/2009,1.1887
8/15/2009,1.2072
8/16/2009,1.2018
8/17/2009,1.2018
8/18/2009,1.2135
8/19/2009,1.2133
8/20/2009,1.204
8/21/2009,1.2031
8/22/2009,1.2002
8/23/2009,1.1979
8/24/2009,1.1979
8/25/2009,1.193
8/26/2009,1.1967
8/27/2009,1.2097
8/28/2009,1.195
8/29/2009,1.1884
8/30/2009,1.1877
8/31/2009,1.1869
9/1/2009,1.1874
9/2/2009,1.2084
9/3/2009,1.1962
9/4/2009,1.1908
9/5/2009,1.1741
9/6/2009,1.1787
9/7/2009,1.1743
9/8/2009,1.1677
9/9/2009,1.1581
9/10/2009,1.1594
9/11/2009,1.1575
9/12/2009,1.1576
9/13/2009,1.159
9/14/2009,1.1593
9/15/2009,1.164
9/16/2009,1.1579
9/17/2009,1.145
9/18/2009,1.1481
9/19/2009,1.1513
9/20/2009,1.1535
9/21/2009,1.1535
9/22/2009,1.1585
9/23/2009,1.1458
9/24/2009,1.1421
9/25/2009,1.1574
9/26/2009,1.1572
9/27/2009,1.155
9/28/2009,1.155
9/29/2009,1.146
9/30/2009,1.1453
10/1/2009,1.1317
10/2/2009,1.1466
10/3/2009,1.152
10/4/2009,1.1552
10/5/2009,1.1552
10/6/2009,1.1395
10/7/2009,1.1228
10/8/2009,1.1258
10/9/2009,1.101
10/10/2009,1.1092
10/11/2009,1.1072
10/12/2009,1.1072
10/13/2009,1.1031
10/14/2009,1.1031
10/15/2009,1.0958
10/16/2009,1.0884
10/17/2009,1.0917
10/18/2009,1.0919
10/19/2009,1.0919
10/20/2009,1.0785
10/21/2009,1.0864
10/22/2009,1.0763
10/23/2009,1.0827
10/24/2009,1.0809
10/25/2009,1.0846
10/26/2009,1.0846
10/27/2009,1.0884
10/28/2009,1.0927
10/29/2009,1.115
10/30/2009,1.092
10/31/2009,1.1093
11/1/2009,1.1102
11/2/2009,1.1102
11/3/2009,1.1006
11/4/2009,1.1139
11/5/2009,1.1001
11/6/2009,1.1003
11/7/2009,1.0897
11/8/2009,1.089
11/9/2009,1.089
11/10/2009,1.0762
11/11/2009,1.0773
11/12/2009,1.0782
11/13/2009,1.0816
11/14/2009,1.0738
11/15/2009,1.0711
11/16/2009,1.0711
11/17/2009,1.0672
11/18/2009,1.0801
11/19/2009,1.0751
11/20/2009,1.0914
11/21/2009,1.092
11/22/2009,1.0926
11/23/2009,1.0926
11/24/2009,1.0817
11/25/2009,1.0907
11/26/2009,1.0779
11/27/2009,1.0973
11/28/2009,1.1007
11/29/2009,1.1018
11/30/2009,1.1018
12/1/2009,1.0944
12/2/2009,1.0816
12/3/2009,1.08
12/4/2009,1.0787
12/5/2009,1.0933
12/6/2009,1.0931
12/7/2009,1.0925
12/8/2009,1.0955
12/9/2009,1.1016
12/10/2009,1.102
12/11/2009,1.0908
12/12/2009,1.0969
12/13/2009,1.0978
12/14/2009,1.0978
12/15/2009,1.0929
12/16/2009,1.103
12/17/2009,1.1096
12/18/2009,1.1294
12/19/2009,1.1287
12/20/2009,1.1229
12/21/2009,1.1229
12/22/2009,1.1323
12/23/2009,1.1397
12/24/2009,1.1351
12/25/2009,1.1331
12/26/2009,1.1306
12/27/2009,1.1306
12/28/2009,1.1306
12/29/2009,1.1268
12/30/2009,1.1164
12/31/2009,1.1181
1/1/2010,1.1134
1/2/2010,1.1137
1/3/2010,1.1137
1/4/2010,1.1137
1/5/2010,1.0958
1/6/2010,1.0962
1/7/2010,1.0879
1/8/2010,1.0909
1/9/2010,1.0858
1/10/2010,1.0817
1/11/2010,1.0817
1/12/2010,1.0759
1/13/2010,1.0821
1/14/2010,1.0858
1/15/2010,1.0751
1/16/2010,1.083
1/17/2010,1.0836
1/18/2010,1.084
1/19/2010,1.0787
1/20/2010,1.0833
1/21/2010,1.101
1/22/2010,1.105
1/23/2010,1.105
1/24/2010,1.1056
1/25/2010,1.1102
1/26/2010,1.1062
